trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
249,False,"{'a': 0.5, 'e': 0.5019999999999996}",25,16,10.778397523626383,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,6,-20.71647563102457,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
251,False,"{'a': 0.5, 'e': 0.49799999999999955}",30,0,-94.22331840393736,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
252,False,"{'a': 0.5, 'e': 0.49599999999999955}",20,10,5.286533812783743,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.49399999999999955}",20,7,7.243029319548033,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.49199999999999955}",25,13,-12.321698601936292,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,19,8.065171869433092,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.48799999999999955}",20,0,-76.43282931743524,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
257,False,"{'a': 0.5, 'e': 0.48599999999999954}",25,11,-54.35670772482165,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 1}",1
258,False,"{'a': 0.5, 'e': 0.48399999999999954}",20,7,17.134602906605142,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.48199999999999954}",20,12,1.0431470697892955,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,10,3.14201926150419,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.47799999999999954}",20,0,-101.57727960233763,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
262,False,"{'a': 0.5, 'e': 0.47599999999999953}",25,14,-0.591503515460849,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.47399999999999953}",20,10,0.23354314005249632,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.47199999999999953}",20,0,4.764382833724232,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,1,-88.11149150513668,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 2}",1
266,False,"{'a': 0.5, 'e': 0.4679999999999995}",30,0,-31.528861565819383,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",1
267,False,"{'a': 0.5, 'e': 0.4659999999999995}",20,0,-47.36746574610904,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
268,False,"{'a': 0.5, 'e': 0.4639999999999995}",20,0,-80.02162499009594,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
269,False,"{'a': 0.5, 'e': 0.4619999999999995}",20,0,-19.790341218003434,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
270,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,6,-30.91229021856749,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
